P2_C12;MB0423A2;SPY222542_12;Magdalena;teleo
P2_D1;MB0423A2;SPY222546_01;Magdalena;teleo
P2_D2;MB0423A2;SPY222546_02;Magdalena;teleo
P2_D3;MB0423A2;SPY222546_03;Magdalena;teleo
P2_D4;MB0423A2;SPY222546_04;Magdalena;teleo
P2_D5;MB0423A2;SPY222546_05;Magdalena;teleo
P2_D6;MB0423A2;SPY222546_06;Magdalena;teleo
P2_D7;MB0423A2;SPY222546_07;Magdalena;teleo
P2_D8;MB0423A2;SPY222546_08;Magdalena;teleo
P2_D9;MB0423A2;SPY222546_09;Magdalena;teleo
P2_D10;MB0423A2;SPY222546_10;Magdalena;teleo
P2_D11;MB0423A2;SPY222546_11;Magdalena;teleo
P2_D12;MB0423A2;SPY222546_12;Magdalena;teleo
P2_E1;MB0423A2;SPY222547_01;Magdalena;teleo
P2_E2;MB0423A2;SPY222547_02;Magdalena;teleo
P2_E3;MB0423A2;SPY222547_03;Magdalena;teleo
P2_E4;MB0423A2;SPY222547_04;Magdalena;teleo
P2_E5;MB0423A2;SPY222547_05;Magdalena;teleo
P2_E6;MB0423A2;SPY222547_06;Magdalena;teleo
P2_E7;MB0423A2;SPY222547_07;Magdalena;teleo
P2_E8;MB0423A2;SPY222547_08;Magdalena;teleo
P2_E9;MB0423A2;SPY222547_09;Magdalena;teleo
P2_E10;MB0423A2;SPY222547_10;Magdalena;teleo
P2_E11;MB0423A2;SPY222547_11;Magdalena;teleo
P2_E12;MB0423A2;SPY222547_12;Magdalena;teleo
P2_F1;MB0423A2;SPY222552_01;Magdalena;teleo
P2_F2;MB0423A2;SPY222552_02;Magdalena;teleo
P2_F3;MB0423A2;SPY222552_03;Magdalena;teleo
P2_F4;MB0423A2;SPY222552_04;Magdalena;teleo
P2_F5;MB0423A2;SPY222552_05;Magdalena;teleo
P2_F6;MB0423A2;SPY222552_06;Magdalena;teleo
P2_F7;MB0423A2;SPY222552_07;Magdalena;teleo
P2_F8;MB0423A2;SPY222552_08;Magdalena;teleo
