"phylum","class","order","family","genus","species","acceptedScientificName","taxonomicStatus","iucnRedListCategory","decimalLatitude","decimalLongitude","issues"
"Chordata","Aves","Passeriformes","Thraupidae","Coereba","Coereba flaveola","Coereba flaveola (Linnaeus, 1758)","ACCEPTED","LC",8.318006,-73.586453,"cdc,cdround"
"Chordata",NA,"Characiformes",NA,NA,NA,"Characiformes","ACCEPTED","NE",9.221269,-74.756164,""
"Chordata",NA,"Perciformes","Cichlidae","Caquetaia","Caquetaia kraussii","Caquetaia kraussii (Steindachner, 1878)","ACCEPTED","NE",9.319083,-74.813972,""
"Chordata",NA,"Characiformes","Curimatidae","Cyphocharax","Cyphocharax magdalenae","Cyphocharax magdalenae (Steindachner, 1878)","ACCEPTED","LC",9.319083,-74.813972,""
"Chordata",NA,"Perciformes","Cichlidae","Andinoacara","Andinoacara latifrons","Andinoacara latifrons (Steindachner, 1878)","ACCEPTED","LC",9.319083,-74.813972,""
"Chordata",NA,"Characiformes","Erythrinidae","Hoplias","Hoplias malabaricus","Hoplias malabaricus (Bloch, 1794)","ACCEPTED","LC",9.295703,-74.806889,""
"Chordata",NA,"Characiformes","Anostomidae","Leporinus","Leporinus muyscorum","Leporinus muyscorum Steindachner, 1900","SYNONYM","NE",9.221269,-74.756164,""
"Chordata",NA,"Siluriformes","Pimelodidae","Sorubim","Sorubim cuspicaudus","Sorubim cuspicaudus Littmann, Burr & Nass, 2000","ACCEPTED","NE",9.221269,-74.756164,""
"Chordata",NA,"Siluriformes","Pimelodidae","Pimelodus",NA,"Pimelodus Lacepède, 1803","ACCEPTED","NE",9.221269,-74.756164,""
"Chordata",NA,"Siluriformes","Loricariidae","Dasyloricaria",NA,"Dasyloricaria Isbrücker & Nijssen, 1979","ACCEPTED","NE",9.200222,-74.882472,""
"Chordata",NA,"Characiformes","Characidae","Roeboides","Roeboides dayi","Roeboides dayi (Steindachner, 1878)","ACCEPTED","LC",9.170142,-74.730653,""
"Chordata",NA,"Characiformes","Prochilodontidae","Prochilodus","Prochilodus magdalenae","Prochilodus magdalenae Steindachner, 1879","ACCEPTED","NE",9.170142,-74.730653,""
"Chordata",NA,"Characiformes","Triportheidae","Triportheus","Triportheus magdalenae","Triportheus magdalenae (Steindachner, 1878)","ACCEPTED","LC",9.269714,-74.727086,""
"Chordata",NA,"Characiformes","Characidae","Astyanax","Astyanax magdalenae","Astyanax magdalenae Eigenmann & Henn, 1916","ACCEPTED","NE",9.313844,-74.801761,""
"Chordata",NA,"Perciformes","Sciaenidae","Plagioscion","Plagioscion surinamensis","Plagioscion surinamensis (Bleeker, 1873)","SYNONYM","DD",9.183556,-74.749889,""
"Chordata","Aves","Passeriformes","Tyrannidae","Tyrannus","Tyrannus melancholicus","Tyrannus melancholicus Vieillot, 1819","ACCEPTED","LC",8.151617,-73.5916,"cdc"
